"","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Netherlands Antilles (former)","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Netherlands","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Nepal","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Republic of Moldova","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Micronesia (Federated States of)","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Mozambique","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Morocco","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Mexico","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","32343.66","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Mauritius","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Malta","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Maldives","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Malaysia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Malawi","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Madagascar","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"China, Macao SAR","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Lithuania","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Libya","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Lebanon","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Lao People's Democratic Republic","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Latvia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Kuwait","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Republic of Korea","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Democratic People's Republic of Korea","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Cambodia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
